品目	標準原価
P0A555100	1434
P0A555101	207.69
P0A556000	1553
P0A556401	1963.75
P0A557400	15456
P0A557401	3968.615
P0A557404	19469
P0A557406	16864
P0A557407	3979.892
P0A557408	19469
P0A557409	3972.714
P0A557410	16918
P0A557412	19209
P0A557500	16963
P0A557600	8548
P0A557602	9530
P0A557603	5896.412
P0A557700	7337
P0A557701	2886.2
P0A557702	5586
P0A557802	15436
P0A557803	5395.837
P0A545100	5238
P0A545203	2386
P0A545900	2151
P0A546000	2017
P0A546001	787.021
P0A546002	695.516
P0A546401	19427
P0A546601	7912.46
P0A546604	15402
P0A547903	2268
P0A547904	1835
P0A547908	1883
P0A548400	11552
P0A548401	14814
P0A549300	12630
P0A549600	4012
P0A549700	964
P0A549800	4479
P0A551004	2580
P0A551005	1476.216
P0A551200	3491
P0A551201	3535
